link,title,game,anchor,hot,tags
https://www.douyu.com/7556060,关于我转生变成天才AD这件事,英雄联盟,璇呆了,23万,峡谷女努努
https://www.douyu.com/5790472,电一有车位，御姐莉莉娅c~,英雄联盟,呆星QvQ,22.7万,峡谷超强女佐伊
https://www.douyu.com/1164398,（有车位)永劫无间披荆斩棘上分车,英雄联盟,十一叔叔o,22.3万,国服第一卡特
https://www.douyu.com/7662885,声诱系御姐。进来还想走嘛？,英雄联盟,贪恋丶毒药,22.2万,国服顶尖赵信
https://www.douyu.com/6052941,国服第一硬辅只玩软辅 T0核爆卡尔玛教学,英雄联盟,天才辅助杨小杨,20.9万,国服第一凯隐
https://www.douyu.com/1510720,本版本之子,英雄联盟,第一柔,20.2万,国服最强提莫
https://www.douyu.com/6218869,艾欧尼亚:又萌又C,英雄联盟,紫紫紫夏,19.7万,国服最强阿狸
https://www.douyu.com/1124335,电1：孤单排,英雄联盟,小萝雾,19.6万,国服顶尖女中单
https://www.douyu.com/4614382,黑色组排有位置,英雄联盟,一只阿薇,19.3万,国服第一死歌 顶尖小法师
https://www.douyu.com/9436890,最近调整时差！鱼吧有说明！,英雄联盟,焚酒儿,19.1万,国服王者瑞兹
https://www.douyu.com/9105451,下午永劫无间一会,英雄联盟,哎呀朝朝,19.1万,大乱斗声优妹妹
https://www.douyu.com/3870205,lcs c9 vs eg,英雄联盟,骚胖er,18.8万,王者中单派克
https://www.douyu.com/5620185,佐伊queen一区大师排位~,英雄联盟,阿星星星吖,18.5万,斗鱼最细最具观赏性诺手
https://www.douyu.com/1343018,艾欧尼亚~选我超甜,英雄联盟,你的饼酱吖,18.4万,古灵精怪少女AD
https://www.douyu.com/6564551,莉娅：请保护00后小妹妹,英雄联盟,莉娅小宝贝,18.1万,国服高端锐雯玩家
https://www.douyu.com/6668676,加油加油加油！ 6668676,英雄联盟,猪猪周z,17.6万,国服最强盖伦
https://www.douyu.com/7531603,卷耳橘-艾欧尼亚有车位！,英雄联盟,卷耳橘,17.2万,温柔少御
https://www.douyu.com/6554831,全能 赵信 稻草，高胜率上分流,英雄联盟,老胡的稻草丶末日赵信,16.9万,甜美小可爱
https://www.douyu.com/1079963,国服第一凯隐：无解上分教学！！,英雄联盟,长情易老凯隐,16.7万,峡谷声优女厨师
https://www.douyu.com/7596577,韩国高分段主播联赛S2,英雄联盟,赛事专用直播间4,16.3万,
https://www.douyu.com/1180429,提莫要被加强。我说的！,英雄联盟,子潇提莫,16.3万,
https://www.douyu.com/6388299,重感冒了，需要去医院!,英雄联盟,抽象的生活丶,15.9万,
https://www.douyu.com/652847,最强阿狸：9分钟神话成型教学【直播】,英雄联盟,lol狸神c,15.4万,
https://www.douyu.com/9786949,新主播第一天直播 9786949,英雄联盟,不知名乔妹,15.1万,
https://www.douyu.com/2124309,直播中！！死歌细节教学！！,英雄联盟,俞俊0829,15万,
https://www.douyu.com/35954,瑞兹王！没MVP叫爸爸！,英雄联盟,恶魔神,14.3万,
https://www.douyu.com/9739029,【老玩家的归宿】,英雄联盟,尤音wink,14.3万,
https://www.douyu.com/5330606,中单派克！！！,英雄联盟,广广l,14.2万,
https://www.douyu.com/8801034,新主播 求关注 8801034,英雄联盟,抱不走越越i,14.1万,
https://www.douyu.com/561155,"诺手的神,逆版本而行",英雄联盟,浩钦诺手,14万,
https://www.douyu.com/2425826,ヾ(◍°∇°◍)ﾉﾞ周五快乐姐妹们！,英雄联盟,秧苗OoO,13.9万,
https://www.douyu.com/623616,世界第二锐雯：任何分段都乱杀,英雄联盟,烙痕锐雯,13.9万,
https://www.douyu.com/559579,逗B苍 旋风哥盖伦绝不摆烂,英雄联盟,是逗b苍,13.5万,
https://www.douyu.com/3658770,❤艾欧尼亚 有车位❤,英雄联盟,爱空大的甜姒九丶,13.5万,
https://www.douyu.com/2043900,❤️成都iu分u•ᴗ•,英雄联盟,颜颜TuT,13.4万,
https://www.douyu.com/8419468,电一有车位 和我一起吧 出发~巴拉巴拉巴,英雄联盟,汤圆不圆嘿,13.4万,
https://www.douyu.com/588642,黑色玫瑰：随缘收粉，愿者自来。,英雄联盟,鱼佰万In,13.3万,
https://www.douyu.com/2438447,网一网二比尔吉沃特德玛西亚ovo,英雄联盟,杨堡堡,13.2万,
https://www.douyu.com/10064160,LCS LCS LCS 大鹿解说,英雄联盟,余生921634,13.1万,
https://www.douyu.com/3828635,电一女孩子好多请问怎么才能和我玩,英雄联盟,是袁佳妮,1.2万,
https://www.douyu.com/9811702,怼车各种指定/前二/前三/宠物/套装,英雄联盟,道济道具手气王,1.2万,暴肝达人丶强怼大师AST
https://www.douyu.com/7589762,四千场美女阿卡丽,英雄联盟,阿心renix,1万,峡谷中单女阿卡丽
https://www.douyu.com/591885,阿卷的峡谷开黑日常,英雄联盟,张小姐的兔牙,1.1万,
https://www.douyu.com/7215355,黑色：灵活组排一起玩啊,英雄联盟,一根小雪糕y,1.1万,国服第一女约德尔人
https://www.douyu.com/424559,【重播】23日15点中韩预选赛,英雄联盟,英雄联盟赛事2,1.1万,斗鱼英雄联盟赛事官方直播间
https://www.douyu.com/446237,实况iG/TS阿鸡宁Xun泡蓝,英雄联盟,小埃及热狗OB,1.1万,Theshy排位OB
https://www.douyu.com/2107358,王者之下皆乱杀,英雄联盟,夕郁上单超级c,1.1万,国服顶尖全能上单
https://www.douyu.com/158252,花老师：最具观赏性青钢影,英雄联盟,花老师青钢影,1.1万,国服第一青钢影 王者上单教学
https://www.douyu.com/9007967,免费上车2=3黑色玫瑰,英雄联盟,一只憨冉冉OvO,1.1万,猛女软辅king
https://www.douyu.com/598519,重庆恶魔小丑天花板子,英雄联盟,小宝宝的北寒i,1.1万,小丑王 峡谷战神
https://www.douyu.com/5792609,实况RNG排位,英雄联盟,RNG上校OB皇族RYL不放弃,1.1万,RNG排位OB
https://www.douyu.com/9620377,艾欧尼亚有车位快乐开黑~,英雄联盟,郑阿七,1.1万,
https://www.douyu.com/9858372,黑色玫瑰甜妹儿，有位置速来上车,英雄联盟,苏茵茵呀,1.1万,峡谷甜音软辅
https://www.douyu.com/5036338,黑色玫瑰说点什么好呢,英雄联盟,水冰月儿呀,1万,电竞仙女月
https://www.douyu.com/2653365,刀疤城丶峡谷之巅分奴打法,英雄联盟,刀疤城丶你41朵小菊花,1.0万,世界第一赵信1秒8枪创始人 
